Mughal Empire coin scraper
  Category: cat=585 (Mughal Empire)
  cc: MG  |  dyn: الإمبراطورية المغولية

  Session ready. Cookie: PHPSESSID=ibc1sslqc3k3b1tgvhljc5uv41; ppid=deleted...
  ✓ 7900 scraped  (total: 7900)
  ✓ 7950 scraped  (total: 7950)
  ✓ 8000 scraped  (total: 8000)
  💾 Checkpoint: 8000 coins saved.
  ✓ 8050 scraped  (total: 8050)
  ✓ 8100 scraped  (total: 8100)
  ✓ 8150 scraped  (total: 8150)
  ✓ 8200 scraped  (total: 8200)
  ✓ 8250 scraped  (total: 8250)
  ✓ 8300 scraped  (total: 8300)
  ✓ 8350 scraped  (total: 8350)
  ✓ 8400 scraped  (total: 8400)
  ✓ 8450 scraped  (total: 8450)
  ✓ 8500 scraped  (total: 8500)
  💾 Checkpoint: 8500 coins saved.
  ✓ 8550 scraped  (total: 8550)
  ✓ 8600 scraped  (total: 8600)
  ✓ 8650 scraped  (total: 8650)
  ✓ 8700 scraped  (total: 8700)
  ✓ 8750 scraped  (total: 8750)
  ✓ 8800 scraped  (total: 8800)
  ✓ 8850 scraped  (total: 8850)
  ✓ 8900 scraped  (total: 8900)
  ✓ 8950 scraped  (total: 8950)
  ✓ 9000 scraped  (total: 9000)
  💾 Checkpoint: 9000 coins saved.
  ✓ 9050 scraped  (total: 9050)
  ✓ 9100 scraped  (total: 9100)
  ✓ 9150 scraped  (total: 9150)
  ✓ 9200 scraped  (total: 9200)
  ✓ 9250 scraped  (total: 9250)
  ✓ 9300 scraped  (total: 9300)
  ✓ 9350 scraped  (total: 9350)
  ✓ 9400 scraped  (total: 9400)
  ✓ 9450 scraped  (total: 9450)
  ✓ 9500 scraped  (total: 9500)
  💾 Checkpoint: 9500 coins saved.
  ✓ 9550 scraped  (total: 9550)
  ✓ 9600 scraped  (total: 9600)
  ✓ 9650 scraped  (total: 9650)
  ✓ 9700 scraped  (total: 9700)
  ✓ 9750 scraped  (total: 9750)
  ✓ 9800 scraped  (total: 9800)
  ✓ 9850 scraped  (total: 9850)
  ✓ 9900 scraped  (total: 9900)
  ✓ 9950 scraped  (total: 9950)
  ✓ 10000 scraped  (total: 10000)
  💾 Checkpoint: 10000 coins saved.
  ✓ 10050 scraped  (total: 10050)
  ✓ 10100 scraped  (total: 10100)
  ✓ 10150 scraped  (total: 10150)
  ✓ 10200 scraped  (total: 10200)
  ✓ 10250 scraped  (total: 10250)
  ✓ 10300 scraped  (total: 10300)
  ✓ 10350 scraped  (total: 10350)
  ✓ 10400 scraped  (total: 10400)
  ✓ 10450 scraped  (total: 10450)
  ✓ 10500 scraped  (total: 10500)
  💾 Checkpoint: 10500 coins saved.
  ✓ 10550 scraped  (total: 10550)
  ✓ 10600 scraped  (total: 10600)
  ✓ 10650 scraped  (total: 10650)
  ✓ 10700 scraped  (total: 10700)
  ✓ 10750 scraped  (total: 10750)
  ✓ 10800 scraped  (total: 10800)
  ✓ 10850 scraped  (total: 10850)
  ✓ 10900 scraped  (total: 10900)
  ✓ 10950 scraped  (total: 10950)
  ✓ 11000 scraped  (total: 11000)
  💾 Checkpoint: 11000 coins saved.

══ Done ══
  Scraped: 11033
  Failed:  0
  Output:  D:\GitHub\arab-catalogue-next\arabismatica\src\data\mughal_coins.json
